"ID","Página","Seção","Onde aparece","Ação","Limite","Caracteres","Texto atual","TEXTO NOVO","Comentário"
"top-bar-01","Em todas as páginas","Faixa preta no topo","Texto curto","Reescrever","","26","Duas unidades em São Paulo","",""
"top-bar-02","Em todas as páginas","Faixa preta no topo","Link ou botão","Reescrever","","10","Consolação","",""
"top-bar-03","Em todas as páginas","Faixa preta no topo","Link ou botão","Reescrever","","9","Pinheiros","",""
"nav-01","Em todas as páginas","Menu","Rótulo de link","Reescrever","22","16","Áreas de atuação","",""
"nav-02","Em todas as páginas","Menu","Rótulo de link","Reescrever","22","7","Pilates","",""
"nav-03","Em todas as páginas","Menu","Rótulo de link","Reescrever","22","10","Quem somos","",""
"nav-04","Em todas as páginas","Menu","Rótulo de link","Reescrever","22","8","Unidades","",""
"nav-05","Em todas as páginas","Menu","Rótulo de link","Reescrever","22","8","Conteúdo","",""
"nav-06","Em todas as páginas","Menu","Botão","Reescrever","30","7","Agendar","",""
"mobile-menu-01","Em todas as páginas","Menu no celular","Nome do botão para leitor de tela","Reescrever","","10","Abrir menu","",""
"mobile-menu-02","Em todas as páginas","Menu no celular","Texto","Reescrever","","4","Menu","",""
"mobile-menu-03","Em todas as páginas","Menu no celular","Botão","Reescrever","30","19","Agendar no WhatsApp","",""
"whats-app-fab-01","Em todas as páginas","Botão flutuante do WhatsApp","Nome do botão para leitor de tela","Reescrever","","17","Falar no WhatsApp","",""
"footer-01","Em todas as páginas","Rodapé","Parágrafo","Reescrever","","91","Atendimento particular, individual e baseado em evidências. Emitimos recibo para reembolso.","",""
"footer-02","Em todas as páginas","Rodapé","Texto","Reescrever","","7","Clínica","",""
"footer-03","Em todas as páginas","Rodapé","Texto","Reescrever","","8","Unidades","",""
"footer-04","Em todas as páginas","Rodapé","Texto","Reescrever","","7","Contato","",""
"footer-05","Em todas as páginas","Rodapé","Link ou botão","Reescrever","","8","WhatsApp","",""
